date,time,full_address,formatted_address,lat,lng,gender,race,idot,verbal_warning,citation_issued,num_citations,search,arrested,dawn,sunrise,noon,sunset,dusk
2016-02-19,21:59:00,"5200 S, Blac kstone, Chicago, IL","5200 S Blackstone Ave, Chicago, IL 60615, USA",41.8008008,-87.5909176,Male,African American,Lane Violation,1,0,0.0,No,0,06:12:23.090635,06:41:16.190068,12:04:17,17:27:45.992718,17:56:41.367649
2016-02-20,00:49:00,"5300 S. Ingleside, Chicago, IL","5300 S Ingleside Ave, Chicago, IL 60615, USA",41.7993622,-87.6028358,Female,African American,Lane Violation,0,1,1.0,No,0,06:11:02.900811,06:39:52.848431,12:04:14,17:29:03.272001,17:57:55.554763
2016-02-21,13:38:00,"5700 S. Woodalwn, Chicago, IL","5700 S Woodlawn Ave, Chicago, IL 60637, USA",41.7912895,-87.5968439,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:09:36.932475,06:38:23.657609,12:04:07,17:30:16.462782,17:59:05.582615
2016-02-21,13:42:00,"5500 S. Woodlawn, Chicago, IL","5500 S Woodlawn Ave, Chicago, IL 60637, USA",41.7948135,-87.5975445,Male,African American,Lane Violation,1,0,0.0,No,0,06:09:37.277774,06:38:24.100198,12:04:07,17:30:16.360445,17:59:05.578071
2016-02-25,17:17:00,"6100 S Ellis, Chicago, IL","6100 S Ellis Ave, Chicago, IL 60637, USA",41.7840817,-87.6011369,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:03:50.358550,06:32:26.063915,12:03:36,17:35:10.948312,18:03:49.298710
2016-02-27,00:27:00,"5300 Cornell, Chicago, IL","5300 S Cornell Ave, Chicago, IL 60615, USA",41.7995091,-87.5855693,Male,African American,Traffic Sign/Signal,0,1,2.0,No,0,06:00:47.445514,06:29:18.890626,12:03:13,17:37:30.941899,18:06:05.165325
2016-02-29,14:31:00,"5300 S Woodlawn, Chicago, IL","5300 S Woodlawn Ave, Chicago, IL 60615, USA",41.7992065,-87.5970802,Male,Hispanic,Traffic Sign/Signal,1,0,0.0,No,0,05:57:46.717536,06:26:13.986495,12:02:55,17:39:57.258958,18:08:27.440531
2016-03-03,00:23:00,"5300 Ellis, Chicago, IL","5300 S Ellis Ave, Chicago, IL 60615, USA",41.7993748,-87.60131299999999,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:53:06.167289,06:21:28.177574,12:02:20,17:43:31.365766,18:11:56.496521
2016-03-08,23:55:00,"5900 Woodlawn, Chicago, IL","5900 S Woodlawn Ave, Chicago, IL 60637, USA",41.7878702,-87.59637719999999,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:45:00.884458,06:13:16.550517,12:01:09,17:49:20.133251,18:17:39.280308
2016-03-10,09:12:00,"6100 S Ingleside, Chicago, IL","6100 S Ingleside Ave, Chicago, IL 60637, USA",41.7839183,-87.6031019,Male,Hispanic,Traffic Sign/Signal,1,0,0.0,No,0,05:41:44.532097,06:09:58.661155,12:00:40,17:51:39.831580,18:19:57.591339
2016-03-13,03:09:00,"5300 Harper, Chicago, IL","5300 S Harper Ave, Chicago, IL 60615, USA",41.79814140000001,-87.5890903,Male,African American,Lane Violation,1,0,0.0,No,0,06:36:40.161206,07:04:53.591092,12:59:49,18:55:01.499954,19:23:18.794638
2016-03-13,05:50:00,"5700 S Cottage Grove, Chicago, IL","5700 S Cottage Grove Ave, Chicago, IL 60637, USA",41.791296,-87.60616329999999,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:36:44.325489,07:04:57.574848,12:59:53,18:55:05.700094,19:23:22.812850
2016-03-15,18:03:00,"4800 S Drexel, Chicago, IL","4800 S Drexel Blvd, Chicago, IL 60615, USA",41.8074652,-87.6046458,Female,African American,Lane Violation,1,0,0.0,No,0,06:33:20.811805,07:01:34.496811,12:59:19,18:57:21.035323,19:25:38.744821
2016-03-19,21:49:00,"4700 S Woodlawn, Chicago, IL","4700 S Woodlawn Ave, Chicago, IL 60615, USA",41.809451,-87.597173,Male,African American,Lane Violation,1,0,0.0,No,0,06:26:28.677188,06:54:44.191791,12:58:08,19:01:48.986771,19:30:08.849480
2016-03-23,20:42:00,"6100 S Woodlawn, Chicago, IL","6100 S Woodlawn Ave, Chicago, IL 60637, USA",41.78401700000001,-87.596716,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:19:35.153530,06:47:54.123650,12:56:57,19:06:15.943319,19:34:39.587193
2016-03-24,08:38:00,"1151 E 51st, Chicago, IL","1151 E 51st St, Chicago, IL 60615, USA",41.8021135,-87.60445729999999,Female,African American,Traffic Sign/Signal,0,1,2.0,No,0,06:17:52.266295,06:46:13.125226,12:56:41,19:07:24.635769,19:35:50.256970
2016-03-24,08:40:00,"5040 S Blackstone, Chicago, IL","5040 S Blackstone Ave, Chicago, IL 60615, USA",41.8030139,-87.5908808,Male,African American,Lane Violation,1,0,0.0,No,0,06:17:48.972527,06:46:09.855633,12:56:37,19:07:21.391382,19:35:47.036979
2016-03-24,10:37:00,"5400 S Dorchester, Chicago, IL","5400 S Dorchester Ave, Chicago, IL 60615, USA",41.797863,-87.59220839999999,Male,African American,Lane Violation,0,1,2.0,No,0,06:17:49.515778,06:46:10.260292,12:56:38,19:07:21.615989,19:35:47.121703
2016-03-25,21:41:00,"6300 S Drexel, Chicago, IL","6300 S Drexel Ave, Chicago, IL 60637, USA",41.780214,-87.603217,Male,African American,Lane Violation,1,0,0.0,No,0,06:16:08.877609,06:44:30.696901,12:56:22,19:08:30.332804,19:36:56.993208
2016-03-26,09:58:00,"Kenwood & Midway Plaisance, Chicago, IL","Kenwood, OK 74365, USA",36.3145314,-94.9857909,Female,African American,Speed,1,0,0.0,No,0,06:47:57.417205,07:14:11.829392,13:25:36,19:37:08.207176,20:03:26.344200
2016-03-26,19:07:00,"6400 S Cottage Grove, Chicago, IL","6400 S Cottage Grove Ave, Chicago, IL 60637, USA",41.77831,-87.60629,Male,African American,Lane Violation,1,0,0.0,No,0,06:14:25.585079,06:42:49.049674,12:56:05,19:09:37.334522,19:38:05.724390
2016-03-28,05:10:00,"5700 S Woodlawn, Chicago, IL","5700 S Woodlawn Ave, Chicago, IL 60637, USA",41.7912895,-87.5968439,Female,African American,Moving Violation - Other,0,1,3.0,No,0,06:10:54.251389,06:39:21.904920,12:55:26,19:11:47.844604,19:40:20.596981
2016-03-28,14:21:00,"1219 E 63rd, Chicago, IL","1219 E 63rd St, Chicago, IL 60637, USA",41.78027609999999,-87.5953957,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:10:54.520066,06:39:21.873011,12:55:26,19:11:47.164276,19:40:19.613098
2016-03-30,11:25:00,"5700 S University, Chicago, IL","5700 S University Ave, Chicago, IL 60637, USA",41.7914067,-87.5980738,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:07:26.174593,06:35:58.255820,12:54:50,19:14:00.370859,19:42:37.721881
2016-03-31,19:29:00,"63rd and Woodlawn, Chicago, IL","S Woodlawn Ave & E 63rd St, Chicago, IL 60637, USA",41.7805135,-87.5962081,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:05:42.353106,06:34:16.564128,12:54:32,19:15:05.541727,19:43:45.105029
2016-04-01,21:43:00,"1307 E 60th St., Chicago, IL","New Graduate Residence, 1307 E 60th St, Chicago, IL 60637, USA",41.78566300000001,-87.5938718,Female,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,06:03:57.497503,06:32:34.426724,12:54:14,19:16:11.173902,19:44:53.542426
2016-04-05,19:53:00,"6300 S Greenwood, Chicago, IL","6300 S Greenwood Ave, Chicago, IL 60637, USA",41.780249,-87.599576,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:57:05.142720,06:25:53.659602,12:53:05,19:20:35.995990,19:49:30.291357
2016-04-06,17:25:00,"5700 S University, Chicago, IL","5700 S University Ave, Chicago, IL 60637, USA",41.7914067,-87.5980738,Female,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:55:20.900306,06:24:13.026658,12:52:48,19:21:42.162222,19:50:40.155057
2016-04-06,19:02:00,"6120 S Ellis, Chicago, IL","6120 S Ellis Ave, Chicago, IL 60637, USA",41.7833718,-87.6013924,Male,African American,Moving Violation - Other,1,0,0.0,No,0,05:55:22.369291,06:24:14.265558,12:52:49,19:21:42.502649,19:50:40.262851
2016-04-07,13:03:00,"1431 E 51st, Chicago, IL","1431 E 51st St, Chicago, IL 60615, USA",41.8021135,-87.60445729999999,Female,African American,Traffic Sign/Signal,0,1,2.0,No,0,05:53:38.810375,06:22:34.677833,12:52:32,19:22:50.260355,19:51:52.081822
2016-04-08,16:18:00,"5700 S University, Chicago, IL","5700 S University Ave, Chicago, IL 60637, USA",41.7914067,-87.5980738,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:51:55.847109,06:20:54.977075,12:52:14,19:23:54.014338,19:52:59.178369
2016-04-12,11:50:00,"5500 S Everett, Chicago, IL","5500 S Everett Ave, Chicago, IL 60637, USA",41.795057,-87.58297000000002,Male,African American,License Plate/Registration,1,0,0.0,No,0,05:45:06.283028,06:14:21.172195,12:51:07,19:28:14.447839,19:57:35.698875
2016-04-12,15:01:00,"5500 S Ellis, Chicago, IL","5500 S Ellis Ave, Chicago, IL 60637, USA",41.794766,-87.60163899999999,Female,African American,Lane Violation,1,0,0.0,No,0,05:45:10.788236,06:14:25.668921,12:51:11,19:28:18.910155,19:57:40.152609
2016-04-13,12:58:00,"5500 block of S Ellis, Chicago, IL","5500 S Ellis Ave, Chicago, IL 60637, USA",41.794766,-87.60163899999999,Female,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:43:30.519866,06:12:49.647514,12:50:56,19:29:24.894235,19:58:50.462864
2016-04-13,16:12:00,"5700 block of Woodlawn, Chicago, IL","5700 S Woodlawn Ave, Chicago, IL 60637, USA",41.7912895,-87.5968439,Female,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:43:29.738079,06:12:48.760938,12:50:55,19:29:23.473615,19:58:48.936209
2016-04-13,16:28:00,"5700 block of Greenwood, Chicago, IL","5700 S Greenwood Ave, Chicago, IL 60637, USA",41.7932525,-87.5997692,Male,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:43:30.231720,06:12:49.313749,12:50:55,19:29:24.328063,19:58:49.850529
2016-04-15,11:28:00,"5100 S Dorchester, Chicago, IL","5100 S Dorchester Ave, Chicago, IL 60615, USA",41.8020492,-87.592134,Female,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:40:08.480145,06:09:36.712810,12:50:24,19:31:35.216435,20:01:10.047415
2016-04-15,13:01:00,"5735 S Ellis, Chicago, IL","Searle Chemical Laboratory, 5735 S Ellis Ave, Chicago, IL 60637, USA",41.7904924,-87.60098190000001,Male,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:40:11.896383,06:09:39.775247,12:50:26,19:31:36.380370,20:01:10.853270
2016-04-15,20:30:00,"61st and Woodlawn, Chicago, IL","E 61st St & S Woodlawn Ave, Chicago, IL 60637, USA",41.7841356,-87.5963001,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:40:11.486197,06:09:39.170430,12:50:25,19:31:34.727342,20:01:09.003256
2016-04-17,14:56:00,"Midway Plaisance and Woodlawn, Chicago, IL","Midway Plaisance & S Woodlawn Ave, Chicago, IL 60637, USA",41.7872223,-87.59636220000002,Male,African American,Lane Violation,1,0,0.0,No,0,05:36:54.604088,06:06:31.764834,12:49:57,19:33:46.982711,20:03:30.884877
2016-04-21,17:14:00,"5700 S Ellis, Chicago, IL","5700 S Ellis Ave, Chicago, IL 60637, USA",41.7913737,-87.60130180000002,Female,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:30:30.274406,06:00:27.768907,12:49:07,19:38:12.507754,20:08:17.019925
2016-04-22,16:22:00,"5706 S University, Chicago, IL","5706 S University Ave, Chicago, IL 60637, USA",41.7911239,-87.59821,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:28:55.208244,05:58:58.029058,12:48:54,19:39:17.685553,20:09:27.586927
2016-04-22,16:55:00,"5700 S University, Chicago, IL","5700 S University Ave, Chicago, IL 60637, USA",41.7914067,-87.5980738,Female,Hispanic,Traffic Sign/Signal,1,0,0.0,No,0,05:28:55.137681,05:58:57.967708,12:48:54,19:39:17.682032,20:09:27.592736
2016-04-22,17:57:00,"1316 E Madison Park Ave, Chicago, IL","1316 E Madison Park, Chicago, IL 60615, USA",41.803418,-87.5944032,Male,Caucasian,Lane Violation,0,1,1.0,No,0,05:28:52.647107,05:58:55.868643,12:48:53,19:39:18.040522,20:09:28.347697
2016-04-22,18:20:00,"4700 S Ellis, Chicago, IL","4700 S Ellis Ave, Chicago, IL 60615, USA",41.8095762,-87.60169760000001,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:28:53.569810,05:58:56.992316,12:48:55,19:39:20.428512,20:09:30.939204
2016-04-26,04:38:00,"5600 S Harper, Chicago, IL","5600 S Harper Ave, Chicago, IL 60637, USA",41.7933411,-87.5890057,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:22:43.902669,05:53:09.174690,12:48:09,19:43:39.051716,20:14:11.629104
2016-04-27,13:40:00,"5400 S Drexel, Chicago, IL","5400 S Drexel Ave, Chicago, IL 60615, USA",41.7966863,-87.6041205,Male,African American,Lane Violation,0,0,1.0,No,0,05:21:17.170876,05:51:48.393994,12:48:04,19:44:48.736961,20:15:27.314884
2016-04-29,20:27:00,"4100 S Cottage Grove, Chicago, IL","4100 S Cottage Grove Ave, Chicago, IL 60653, USA",41.8203706,-87.6067976,Female,African American,Speed,1,0,0.0,No,0,05:18:17.460092,05:49:01.448313,12:47:47,19:47:03.323555,20:17:54.762189
2016-05-01,15:29:00,"Midway & Dorchester, Chicago, IL","Midway Atoll, United States",28.2072168,-177.3734926,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,11:43:32.196558,12:08:52.427715,18:46:36,01:24:29.032241,01:49:52.925633
2016-05-02,10:17:00,"5300 S Kimbark, Chicago, IL","5300 S Kimbark Ave, Chicago, IL 60615, USA",41.7992755,-87.5953309,Male,Caucasian,Moving Violation - Other,1,0,0.0,No,0,05:14:01.234073,05:45:02.978756,12:47:22,19:50:13.523198,20:21:22.804994
2016-05-04,11:15:00,"6300 S Drexel, Chicago, IL","6300 S Drexel Ave, Chicago, IL 60637, USA",41.780214,-87.603217,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:11:21.146388,05:42:34.851986,12:47:12,19:52:22.268944,20:23:43.543335
2016-05-04,12:18:00,"5735 S Ellis, Chicago, IL","Searle Chemical Laboratory, 5735 S Ellis Ave, Chicago, IL 60637, USA",41.7904924,-87.60098190000001,Female,Caucasian,Traffic Sign/Signal,0,1,2.0,No,0,05:11:18.850924,05:42:32.934816,12:47:11,19:52:23.131155,20:23:44.788740
2016-05-05,17:36:00,"5000 S Dorchester, Chicago, IL","5000 S Dorchester Ave, Chicago, IL 60615, USA",41.803925,-87.59225699999999,Male,African American,Speed,1,0,0.0,No,0,05:09:53.718438,05:41:14.713704,12:47:04,19:53:27.258927,20:24:55.846960
2016-05-06,09:46:00,"5400 S Ellis, Chicago, IL","5400 S Ellis Ave, Chicago, IL 60615, USA",41.797802,-87.601569,Male,African American,Traffic Sign/Signal,0,1,1.0,No,0,05:08:37.611973,05:40:04.841614,12:47:02,19:54:32.763720,20:26:07.590332
2016-05-07,01:21:00,"5300 S University, Chicago, IL","5300 S University Ave, Chicago, IL 60615, USA",41.799338,-87.59861649999999,Male,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,05:07:18.573535,05:38:52.365582,12:46:57,19:55:36.108070,20:27:17.499260
2016-05-08,13:01:00,"5500 S University, Chicago, IL","5500 S University Ave, Chicago, IL 60637, USA",41.79460830000001,-87.5983715,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:06:02.715034,05:37:42.865294,12:46:53,19:56:38.879565,20:28:26.622091
2016-05-09,16:19:00,"5837 S Maryland, Chicago, IL","5837 S Maryland Ave, Chicago, IL 60637, USA",41.78875499999999,-87.6046898,Male,Caucasian,Lane Violation,1,0,0.0,No,0,05:04:50.097323,05:36:36.587204,12:46:52,19:57:42.694908,20:29:36.763376
2016-05-12,11:27:00,"5830 S Ellis, Chicago, IL","5830 S Ellis Ave, Chicago, IL 60637, USA",41.788294,-87.6014046,Female,Caucasian,Lane Violation,1,0,0.0,No,0,05:01:12.746817,05:33:19.014689,12:46:46,20:00:48.951260,20:33:02.725325
2016-05-13,08:55:00,"6300 S Dorchester, Chicago, IL","6300 S Dorchester Ave, Chicago, IL 60637, USA",41.7805546,-87.5915096,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:00:02.802311,05:32:15.364917,12:46:42,20:01:46.828547,20:34:06.855381
2016-05-13,17:00:00,"5706 S University, Chicago, IL","5706 S University Ave, Chicago, IL 60637, USA",41.7911239,-87.59821,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,05:00:02.320185,05:32:15.311401,12:46:44,20:01:50.115453,20:34:10.576179
2016-05-16,20:16:00,"5500 Cornell, Chicago, IL","5500 S Cornell Ave, Chicago, IL 60637, USA",41.7950886,-87.58562380000001,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:56:41.032372,05:29:13.940398,12:46:42,20:04:49.069840,20:37:29.289755
2016-05-17,16:45:00,"5800 S Greenwood, Chicago, IL","5800 S Greenwood Ave, Chicago, IL 60637, USA",41.7932525,-87.5997692,Male,Caucasian,Lane Violation,1,0,0.0,No,0,04:55:42.395619,05:28:21.758210,12:46:47,20:05:51.437478,20:38:38.042024
2016-05-17,23:28:00,"5700 Hyde Park Blvd, Chicago, IL","5700 E Hyde Park Blvd, Chicago, IL 60615, USA",41.8024832,-87.58606069999999,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:55:37.180776,05:28:16.933702,12:46:44,20:05:49.696062,20:38:36.695547
2016-05-18,08:31:00,"5036 S Blackstone, Chicago, IL","5036 S Blackstone Ave, Chicago, IL 60615, USA",41.8031684,-87.5908422,Female,Caucasian,Lane Violation,1,0,0.0,No,0,04:54:37.519511,05:27:23.796198,12:46:48,20:06:49.607981,20:39:43.054301
2016-05-22,21:11:00,"5100 Dorchester, Chicago, IL","5100 S Dorchester Ave, Chicago, IL 60615, USA",41.8020492,-87.592134,Male,African American,Moving Violation - Other,1,0,0.0,No,0,04:50:53.821230,05:24:05.441023,12:47:02,20:10:37.029068,20:43:55.423214
2016-05-23,10:35:00,"5050 Lake Shore Drive, Chicago, IL","5050 S Lake Shore Dr, Chicago, IL 60615, USA",41.8032212,-87.5852704,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:50:00.623261,05:23:18.451290,12:47:05,20:11:30.391075,20:44:54.873239
2016-05-23,12:03:00,"5800 Cottage Grove, Chicago, IL","5800 S Cottage Grove Ave, Chicago, IL 60637, USA",41.7890539,-87.6064537,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:50:08.878888,05:23:26.071045,12:47:10,20:11:32.920245,20:44:56.759797
2016-05-23,12:28:00,"5400 Cottage Grove, Chicago, IL","5400 S Cottage Grove Ave, Chicago, IL 60615, USA",41.7967979,-87.60627319999999,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:50:07.100567,05:23:24.640413,12:47:10,20:11:34.274973,20:44:58.465893
2016-05-23,17:32:00,"5200 Lake Park, Chicago, IL","5200 S Lake Park Ave, Chicago, IL 60615, USA",41.80085769999999,-87.5880226,Male,American Indian/Alaska Native,Traffic Sign/Signal,1,0,0.0,No,0,04:50:01.813151,05:23:19.535042,12:47:06,20:11:30.625177,20:44:55.000078
2016-05-27,22:25:00,"5700 S Hyde Park Blvd, Chicago, IL","5700 S Hyde Park Blvd, Chicago, IL 60637, USA",41.7934284,-87.5839056,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:46:57.468967,05:20:38.416146,12:47:29,20:14:58.035699,20:48:45.058589
2016-05-28,07:11:00,"5900 Ellis, Chicago, IL","5900 S Ellis Ave, Chicago, IL 60637, USA",41.7877305,-87.6012293,Male,Hispanic,Lane Violation,1,0,0.0,No,0,04:46:21.871324,05:20:08.131217,12:47:41,20:15:50.984540,20:49:43.151377
2016-05-29,09:49:00,"5500 S Greenwood, Chicago, IL","5500 S Greenwood Ave, Chicago, IL 60637, USA",41.794837,-87.5998068,Female,Hispanic,Traffic Sign/Signal,1,0,0.0,No,0,04:45:40.880040,05:19:32.911154,12:47:48,20:16:40.746467,20:50:38.512221
2016-05-29,16:15:00,"5700 S Harper, Chicago, IL","5700 S Harper Ave, Chicago, IL 60637, USA",41.79139809999999,-87.5891819,Male,Caucasian,Lane Violation,1,0,0.0,No,0,04:45:39.147714,05:19:31.015839,12:47:45,20:16:37.537341,20:50:35.138654
2016-05-29,21:11:00,"5800 S University, Chicago, IL","5800 S University Ave, Chicago, IL 60637, USA",41.78936179999999,-87.5980201,Male,African American,Lane Violation,1,0,0.0,No,0,04:45:41.751391,05:19:33.523249,12:47:48,20:16:39.270266,20:50:36.774445
2016-05-29,21:44:00,"5300 S University, Chicago, IL","5300 S University Ave, Chicago, IL 60615, USA",41.799338,-87.59861649999999,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:45:39.525589,05:19:31.769868,12:47:48,20:16:41.321631,20:50:39.302459
2016-05-30,21:08:00,"5700 Woodlawn, Chicago, IL","5700 S Woodlawn Ave, Chicago, IL 60637, USA",41.7912895,-87.5968439,Male,Asian,Traffic Sign/Signal,1,0,0.0,No,0,04:45:04.186078,05:19:01.333018,12:47:55,20:17:26.946970,20:51:29.642678
2016-05-31,21:03:00,"1200 E 59th, Chicago, IL","1200 E 59th St, Chicago, IL 60637, USA",41.787795,-87.5962687,Male,African American,Lane Violation,0,1,2.0,No,0,04:44:30.234489,05:18:32.335522,12:48:04,20:18:12.515790,20:52:19.970908
2016-06-02,08:49:00,"49th and Kimbark, Chicago, IL","S Kimbark Ave & E 49th St, Chicago, IL 60615, USA",41.8060014,-87.5951572,Female,African American,Traffic Sign/Signal,0,1,1.0,No,0,04:43:22.797562,05:17:35.507626,12:48:22,20:19:44.810958,20:54:02.469243
2016-06-03,11:30:00,"5500 S Cornell, Chicago, IL","5493 S Cornell Ave, Chicago, IL 60615, USA",41.7954288,-87.58513169999999,Female,Caucasian,Lane Violation,1,0,0.0,No,0,04:42:54.952057,05:17:11.729404,12:48:29,20:20:22.829914,20:54:44.332393
2016-06-03,19:22:00,"5300 Dorchester, Chicago, IL","5300 S Dorchester Ave, Chicago, IL 60615, USA",41.79931020000001,-87.59196039999999,Female,Caucasian,Lane Violation,1,0,0.0,No,0,04:42:55.632537,05:17:12.600815,12:48:31,20:20:25.240341,20:54:46.935136
2016-06-03,23:18:00,"1755 E 55th, Chicago, IL","1755 E 55th St, Chicago, IL 60615, USA",41.7949183,-87.5815604,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,04:42:54.221187,05:17:10.973392,12:48:29,20:20:21.871023,20:54:43.348181
